#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.330227719 330.227719 522.569 553.273 580.843 605.596 646.842 678.713 712.569 742.02 751.142
0.330558112 330.558112 477.863 506.1 531.613 554.705 593.683 624.51 658.577 691.3 705.196
0.330888836 330.888836 467.819 495.49 520.51 543.176 581.488 611.857 645.523 678.066 692.049
0.33121989 331.21989 475.095 503.025 528.161 550.835 588.746 618.312 650.332 679.549 690.392
0.331551275 331.551275 465.421 493.051 518.009 540.57 578.631 608.654 641.638 672.889 685.636
0.331882993 331.882993 460.807 488.407 513.419 536.071 574.581 605.257 639.38 672.749 687.399
0.33221504199999996 332.215042 454.801 482.193 507.079 529.656 568.257 599.243 634.069 668.983 685.177
0.33254742299999995 332.547423 462.674 490.599 515.944 538.9 578.079 609.404 644.354 678.829 694.189
0.332880136 332.880136 461.697 489.578 514.865 537.752 576.742 607.828 642.361 676.069 690.716
0.333213183 333.213183 453.117 480.507 505.361 527.875 566.253 596.896 631.036 664.564 679.379
0.333546563 333.546563 441.848 468.497 492.672 514.596 551.909 581.692 614.92 647.585 662.11
0.333880276 333.880276 429.937 455.904 479.507 500.986 537.669 567.168 600.541 634.366 650.613
0.33421432399999995 334.214324 439.5 466.2 490.502 512.618 550.515 581.088 615.761 651.145 668.295
0.334548705 334.548705 447.577 474.911 499.819 522.49 561.456 592.987 628.847 665.716 683.809
0.334883421 334.883421 448.144 475.611 500.657 523.459 562.715 594.535 630.782 668.202 686.692
0.33521847200000005 335.218472 447.524 475.04 500.147 523.007 562.42 594.413 630.899 668.683 687.439
0.335553858 335.553858 445.509 472.965 498.029 520.856 560.249 592.259 628.81 666.767 685.707
0.33588958 335.88958 430.206 456.744 480.965 503.017 541.054 571.932 607.127 643.524 661.525
0.336225637 336.225637 411.754 437.147 460.312 481.394 517.712 547.137 580.584 614.948 631.715
0.336562031 336.562031 391.681 415.801 437.788 457.795 492.185 519.98 551.482 583.61 599.079
0.33689876199999996 336.898762 419.91 445.727 469.146 490.331 526.368 554.976 586.464 616.426 628.538
0.33723582900000004 337.235829 441.915 468.978 493.426 515.46 552.57 581.594 612.815 640.783 650.202
0.33757323300000003 337.573233 446.29 473.701 498.484 520.835 558.551 588.125 620.051 648.913 658.906
0.337910975 337.910975 445.719 473.315 498.367 521.045 559.659 590.356 624.202 656.521 669.705
0.338249055 338.249055 443.169 470.793 495.97 518.851 558.148 589.805 625.431 661.164 677.655
0.338587474 338.587474 446.901 474.893 500.467 523.764 563.98 596.63 633.803 672.093 690.842
0.33892623099999997 338.926231 434.928 462.294 487.388 510.343 550.269 583.082 621.142 661.962 683.674
0.33926532600000003 339.265326 438.689 466.359 491.747 514.988 555.457 588.773 627.519 669.293 691.738
0.339604761 339.604761 442.123 470.073 495.734 519.241 560.217 594.008 633.408 676.109 699.284
0.339944536 339.944536 445.884 474.112 500.04 523.811 565.272 599.51 639.527 683.086 706.933
0.34028465 340.28465 447.998 476.386 502.47 526.41 568.175 602.712 643.198 687.509 712.068
0.34062510500000004 340.625105 453.568 482.39 508.892 533.223 575.738 610.958 652.326 697.802 723.181
0.34096590099999996 340.965901 444.41 472.701 498.72 522.601 564.349 598.933 639.528 684.108 708.913
0.341307037 341.307037 434.587 462.293 487.776 511.162 552.05 585.917 625.641 669.208 693.377
0.341648515 341.648515 426.894 454.144 479.211 502.212 542.437 575.754 614.821 657.641 681.359
0.341990334 341.990334 440.011 468.155 494.04 517.787 559.298 593.655 633.889 677.864 702.093
0.342332496 342.332496 457.929 487.263 514.219 538.921 582.019 617.572 658.989 703.761 727.913
0.34267499900000004 342.674999 447.68 476.454 502.975 527.364 570.177 605.844 648.017 695.026 721.867
0.343017846 343.017846 445.407 474.05 500.436 524.685 567.193 602.53 644.181 690.296 716.318
0.34336103500000004 343.361035 438.776 467.023 493.047 516.971 558.917 593.799 634.934 680.521 706.293
0.343704568 343.704568 444.764 473.37 499.651 523.732 565.704 600.273 640.44 683.584 706.578
0.34404844500000004 344.048445 402.647 428.559 452.43 474.383 512.842 544.808 582.503 624.235 647.825
0.34439266500000004 344.392665 383.806 408.508 431.253 452.154 488.735 519.077 554.734 593.929 615.78
0.34473723 344.73723 379.862 404.363 426.931 447.669 483.991 514.137 549.571 588.547 610.282
0.34508214 345.08214 411.471 438.086 462.573 485.041 524.298 556.741 594.613 635.668 657.925
0.345427394 345.427394 450.96 480.185 507.016 531.569 574.274 609.294 649.667 692.259 714.103
0.34577299499999997 345.772995 447.864 476.982 503.778 528.364 571.332 606.841 648.27 693.121 717.355
0.34611894 346.11894 436.128 464.553 490.76 514.854 557.119 592.252 633.603 679.202 704.712
0.34646523300000004 346.465233 422.124 449.708 475.197 498.691 540.088 574.744 615.971 662.43 689.454
0.346811871 346.811871 414.549 441.687 466.788 489.95 530.841 565.174 606.193 652.815 680.336
0.347158856 347.158856 410.559 437.469 462.364 485.342 525.917 560.001 600.746 647.103 674.518
0.347506189 347.506189 406.383 433.051 457.727 480.509 520.749 554.563 595.015 641.09 668.397
0.347853869 347.853869 421.148 448.804 474.336 497.844 539.17 573.629 614.357 659.618 685.29
0.348201897 348.201897 477.669 508.993 537.698 563.895 609.233 646.057 687.794 730.049 749.701
0.348550273 348.550273 453.338 483.156 510.573 535.691 579.464 615.43 656.954 700.81 723.276
0.348898997 348.898997 445.858 475.244 502.296 527.112 570.46 606.21 647.721 692.116 715.458
0.349248071 349.248071 419.878 447.637 473.289 496.925 538.534 573.288 614.442 660.328 686.485
0.349597494 349.597494 413.79 441.198 466.55 489.937 531.186 565.742 606.846 653.096 679.897
0.34994726600000003 349.947266 425.384 453.665 479.882 504.129 547.079 583.309 626.854 676.873 706.919
0.350297388 350.297388 441.107 470.516 497.815 523.098 567.999 606.026 651.995 705.404 738.1
0.350647861 350.647861 455.683 486.129 514.409 540.621 587.229 626.776 674.717 730.711 765.286
0.350998684 350.998684 443.623 473.284 500.843 526.394 571.849 610.445 657.277 712.072 746.003
0.35134985799999996 351.349858 433.147 462.116 489.033 513.989 558.375 596.054 641.757 695.184 728.227
0.351701384 351.701384 423.529 451.861 478.181 502.58 545.952 582.742 627.318 679.31 711.352
0.352053261 352.053261 410.365 437.839 463.374 487.055 529.19 564.975 608.406 659.226 690.703
0.35240549099999996 352.405491 397.805 424.459 449.241 472.233 513.171 547.974 590.271 639.889 670.746
0.35275807200000003 352.758072 398.374 425.102 449.962 473.034 514.139 549.115 591.671 641.703 672.922
0.353111007 353.111007 411.591 439.272 465.04 488.977 531.692 568.126 612.609 665.255 698.454
0.353464295 353.464295 424.643 453.267 479.935 504.729 549.039 586.92 633.321 688.574 723.755
0.353817936 353.817936 434.05 463.366 490.694 516.121 561.615 600.576 648.422 705.664 742.38
0.354171931 354.171931 451.351 481.874 510.303 536.726 583.92 624.22 673.495 731.956 768.966
0.35452627999999997 354.52628 475.558 507.747 537.679 565.446 614.869 656.842 707.742 767.166 803.813
0.35488098300000004 354.880983 477.982 510.354 540.428 568.298 617.81 659.728 710.318 768.814 804.308
0.355236042 355.236042 451.185 481.791 510.292 536.774 584.036 624.341 673.512 731.581 768.07
0.355591455 355.591455 473.378 505.482 535.271 562.834 611.664 652.812 702.117 758.278 791.469
0.355947225 355.947225 434.548 464.061 491.517 516.999 562.378 600.939 647.725 702.372 736.089
0.35630335 356.30335 425.09 453.965 480.797 505.665 549.846 587.241 632.341 684.381 715.832
0.356659832 356.659832 420.494 449.052 475.543 500.045 543.411 579.894 623.481 672.808 701.607
0.35701667 357.01667 383.175 409.232 433.476 455.978 496.045 530.081 571.345 619.449 649.028
0.357373865 357.373865 355.064 379.232 401.765 422.727 460.203 492.239 531.443 577.988 607.474
0.357731418 357.731418 345.9 369.447 391.382 411.768 448.15 479.161 516.946 561.42 589.198
0.35808932800000004 358.089328 330.881 353.414 374.411 393.93 428.78 458.503 494.749 537.475 564.226
0.358447596 358.447596 322.478 344.44 364.885 383.872 417.705 446.472 481.384 522.145 547.259
0.358806223 358.806223 334.23 357.071 378.372 398.192 433.632 463.927 500.989 544.94 572.723
0.359165209 359.165209 369.165 394.523 418.219 440.318 479.987 514.104 556.215 607.015 640.011
0.359524554 359.524554 404.147 432.032 458.134 482.524 526.445 564.41 611.612 669.332 707.609
0.359884258 359.884258 409.311 437.609 464.11 488.886 533.544 572.197 620.345 679.421 718.796
0.360244322 360.244322 406.717 434.864 461.229 485.883 530.333 568.822 616.788 675.694 715.003
0.36060474699999995 360.604747 404.091 432.083 458.307 482.834 527.068 565.384 613.16 671.881 711.12
0.360965532 360.965532 393.928 421.225 446.796 470.709 513.824 551.154 597.666 654.752 692.814
0.361326678 361.326678 383.805 410.409 435.329 458.629 500.629 536.974 582.223 637.67 674.548
0.36168818599999997 361.688186 409.005 437.349 463.797 488.415 532.449 570.09 616.105 670.543 704.795
0.362050055 362.050055 426.105 455.707 483.348 509.097 555.213 594.712 643.138 700.743 737.311
0.362412286 362.412286 424.489 454.069 481.77 507.662 554.301 594.612 644.689 705.79 746.154
0.362774879 362.774879 426.977 456.791 484.747 510.913 558.16 599.146 650.33 713.393 755.67
0.363137836 363.137836 436.842 467.373 495.977 522.723 570.928 612.624 664.471 727.83 769.78
0.36350115499999996 363.501155 442.776 473.757 502.771 529.889 578.725 620.91 673.259 736.978 778.906
0.363864838 363.864838 442.513 473.519 502.575 529.749 578.743 621.135 673.867 738.337 781.046
0.364228885 364.228885 443.079 474.169 503.32 530.601 579.84 622.513 675.716 741.036 784.586
0.364593296 364.593296 434.744 465.3 493.997 520.903 569.616 612.038 665.297 731.533 776.55
0.364958072 364.958072 447.409 478.932 508.577 536.413 586.937 631.107 686.865 756.906 805.205
0.365323212 365.323212 458.905 491.32 521.85 550.563 602.822 648.701 706.956 780.916 832.692
0.36568871799999997 365.688718 474.571 508.163 539.822 569.617 623.909 671.654 732.424 809.899 864.455
0.36605459 366.05459 484.62 518.986 551.389 581.902 637.552 686.553 749.035 828.942 885.456
0.36642082699999995 366.420827 496.731 532.015 565.293 596.638 653.829 704.218 768.518 850.861 909.206
0.366787432 366.787432 498.044 533.47 566.895 598.39 655.892 706.602 771.392 854.541 913.636
0.367154402 367.154402 494.176 529.357 562.548 593.818 650.896 701.209 765.45 847.791 906.21
0.36752174000000004 367.52174 486.446 521.111 553.826 584.659 640.969 690.646 754.14 835.675 893.669
0.367889446 367.889446 479.594 513.797 546.071 576.485 632.011 680.97 743.498 823.673 880.583
0.368257519 368.257519 466.613 499.918 531.359 561.001 615.161 662.97 724.122 802.742 858.755
0.368625961 368.625961 458.217 490.949 521.851 550.986 604.224 651.219 711.331 788.607 843.656
0.368994772 368.994772 474.156 508.1 540.167 570.422 625.769 674.711 737.459 818.457 876.486
0.36936395099999997 369.363951 489.656 524.784 557.993 589.348 646.775 697.646 763.026 847.778 908.849
0.3697335 369.7335 503.292 539.452 573.625 605.881 664.924 717.176 784.238 870.953 933.226
0.37010341799999996 370.103418 515.543 552.584 587.513 620.397 680.323 732.997 799.946 885.011 944.618
0.370473707 370.473707 492.077 527.461 560.87 592.366 649.9 700.652 765.486 848.613 907.615
0.370844366 370.844366 485.16 520.088 553.093 584.24 641.225 691.614 756.199 839.502 899.12
0.371215395 371.215395 486.272 521.328 554.476 585.781 643.126 693.928 759.21 843.793 904.705
