#  "Mp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      4.8776      0.9000
      4.8786      0.9000
      4.8796      0.9000
      4.8807      0.9000
      4.8817      0.9000
      4.8827      0.9000
      4.8837      0.9000
      4.8847      0.9000
      4.8857      0.9000
      4.8867      0.9000
      4.8878      0.9000
      4.8888      0.9000
      4.8898      0.9000
      4.8908      0.9000
      4.8918      0.9000
      4.8928      0.9000
      4.8938      0.9000
      4.8949      0.9000
      4.8959      0.9000
      4.8969      0.9000
      4.8979      0.9000
      4.8989      0.9000
      4.8999      0.9000
      4.9010      0.8994
      4.9020      0.8988
      4.9030      0.8982
      4.9040      0.8976
      4.9050      0.8970
      4.9061      0.8964
      4.9071      0.8958
      4.9081      0.8951
      4.9091      0.8945
      4.9101      0.8939
      4.9111      0.8933
      4.9122      0.8927
      4.9132      0.8921
      4.9142      0.8915
      4.9152      0.8909
      4.9163      0.8902
      4.9173      0.8896
      4.9183      0.8890
      4.9193      0.8884
      4.9203      0.8878
      4.9214      0.8872
      4.9224      0.8866
      4.9234      0.8860
      4.9244      0.8853
      4.9254      0.8847
      4.9265      0.8841
      4.9275      0.8835
      4.9285      0.8829
      4.9295      0.8823
      4.9306      0.8817
      4.9316      0.8811
      4.9326      0.8804
      4.9336      0.8798
      4.9347      0.8792
      4.9357      0.8786
      4.9367      0.8780
      4.9377      0.8774
      4.9388      0.8767
      4.9398      0.8761
      4.9408      0.8755
      4.9418      0.8749
      4.9429      0.8743
      4.9439      0.8737
      4.9449      0.8731
      4.9459      0.8724
      4.9470      0.8718
      4.9480      0.8712
      4.9490      0.8706
      4.9500      0.8700
      4.9511      0.8696
      4.9521      0.8692
      4.9531      0.8687
      4.9542      0.8683
      4.9552      0.8679
      4.9562      0.8675
      4.9572      0.8671
      4.9583      0.8667
      4.9593      0.8663
      4.9603      0.8659
      4.9614      0.8655
      4.9624      0.8650
      4.9634      0.8646
      4.9645      0.8642
      4.9655      0.8638
      4.9665      0.8634
      4.9675      0.8630
      4.9686      0.8626
      4.9696      0.8622
      4.9706      0.8617
      4.9717      0.8613
      4.9727      0.8609
      4.9737      0.8605
      4.9748      0.8601
      4.9758      0.8597
      4.9768      0.8593
      4.9779      0.8589
      4.9789      0.8584
      4.9799      0.8580
      4.9810      0.8576
      4.9820      0.8572
      4.9830      0.8568
      4.9841      0.8564
      4.9851      0.8560
      4.9861      0.8555
      4.9872      0.8551
      4.9882      0.8547
      4.9892      0.8543
      4.9903      0.8539
      4.9913      0.8535
      4.9924      0.8531
      4.9934      0.8526
      4.9944      0.8522
      4.9955      0.8518
      4.9965      0.8514
      4.9975      0.8510
      4.9986      0.8506
      4.9996      0.8502
      5.0007      0.8467
      5.0017      0.8415
      5.0027      0.8363
      5.0038      0.8312
      5.0048      0.8260
      5.0058      0.8208
      5.0069      0.8156
      5.0079      0.8104
      5.0090      0.8052
      5.0100      0.8000
      5.0110      0.7948
      5.0121      0.7896
      5.0131      0.7844
      5.0142      0.7792
      5.0152      0.7740
      5.0162      0.7688
      5.0173      0.7635
      5.0183      0.7583
      5.0194      0.7531
      5.0204      0.7479
      5.0215      0.7427
      5.0225      0.7375
      5.0235      0.7323
      5.0246      0.7271
      5.0256      0.7218
      5.0267      0.7166
      5.0277      0.7114
      5.0288      0.7062
      5.0298      0.7010
      5.0308      0.6958
      5.0319      0.6905
      5.0329      0.6853
      5.0340      0.6801
      5.0350      0.6749
      5.0361      0.6696
      5.0371      0.6644
      5.0382      0.6592
      5.0392      0.6539
      5.0403      0.6487
      5.0413      0.6435
      5.0424      0.6382
      5.0434      0.6330
      5.0444      0.6278
      5.0455      0.6225
      5.0465      0.6173
      5.0476      0.6121
      5.0486      0.6068
      5.0497      0.6016
      5.0507      0.5952
      5.0518      0.5882
      5.0528      0.5813
      5.0539      0.5744
      5.0549      0.5675
      5.0560      0.5606
      5.0570      0.5536
      5.0581      0.5467
      5.0591      0.5398
      5.0602      0.5328
      5.0612      0.5259
      5.0623      0.5190
      5.0633      0.5120
      5.0644      0.5051
      5.0654      0.4981
      5.0665      0.4912
      5.0675      0.4843
      5.0686      0.4773
      5.0696      0.4704
      5.0707      0.4634
      5.0717      0.4565
      5.0728      0.4495
      5.0739      0.4426
      5.0749      0.4356
      5.0760      0.4287
      5.0770      0.4217
      5.0781      0.4148
      5.0791      0.4078
      5.0802      0.4008
      5.0812      0.3939
      5.0823      0.3869
      5.0833      0.3800
      5.0844      0.3730
      5.0855      0.3660
      5.0865      0.3591
      5.0876      0.3521
      5.0886      0.3451
      5.0897      0.3381
      5.0907      0.3312
      5.0918      0.3242
      5.0928      0.3172
      5.0939      0.3102
      5.0950      0.3033
      5.0960      0.2963
      5.0971      0.2893
      5.0981      0.2823
      5.0992      0.2753
      5.1003      0.2694
      5.1013      0.2669
      5.1024      0.2644
      5.1034      0.2619
      5.1045      0.2594
      5.1055      0.2569
      5.1066      0.2544
      5.1077      0.2519
      5.1087      0.2494
      5.1098      0.2469
      5.1109      0.2444
      5.1119      0.2418
      5.1130      0.2393
      5.1140      0.2368
      5.1151      0.2343
      5.1162      0.2318
      5.1172      0.2293
      5.1183      0.2268
      5.1193      0.2243
      5.1204      0.2218
      5.1215      0.2192
      5.1225      0.2167
      5.1236      0.2142
      5.1247      0.2117
      5.1257      0.2092
      5.1268      0.2067
      5.1279      0.2042
      5.1289      0.2016
      5.1300      0.1991
      5.1310      0.1966
      5.1321      0.1941
      5.1332      0.1916
      5.1342      0.1891
      5.1353      0.1865
      5.1364      0.1840
      5.1374      0.1815
      5.1385      0.1790
      5.1396      0.1765
      5.1406      0.1739
      5.1417      0.1714
      5.1428      0.1689
      5.1438      0.1664
      5.1449      0.1638
      5.1460      0.1613
      5.1471      0.1588
      5.1481      0.1563
      5.1492      0.1537
      5.1503      0.1512
      5.1513      0.1487
      5.1524      0.1462
      5.1535      0.1436
      5.1545      0.1411
      5.1556      0.1386
      5.1567      0.1360
      5.1577      0.1335
      5.1588      0.1310
      5.1599      0.1284
      5.1610      0.1259
      5.1620      0.1234
      5.1631      0.1208
      5.1642      0.1183
      5.1652      0.1158
      5.1663      0.1132
      5.1674      0.1107
      5.1685      0.1082
      5.1695      0.1056
      5.1706      0.1031
      5.1717      0.1006
      5.1728      0.0980
      5.1738      0.0955
      5.1749      0.0929
      5.1760      0.0904
      5.1771      0.0879
      5.1781      0.0853
      5.1792      0.0828
      5.1803      0.0802
      5.1814      0.0777
      5.1824      0.0752
      5.1835      0.0726
      5.1846      0.0701
      5.1857      0.0675
      5.1867      0.0650
      5.1878      0.0624
      5.1889      0.0599
      5.1900      0.0573
      5.1910      0.0548
      5.1921      0.0523
      5.1932      0.0497
      5.1943      0.0472
      5.1954      0.0446
      5.1964      0.0421
      5.1975      0.0395
      5.1986      0.0370
      5.1997      0.0344
      5.2008      0.0319
      5.2018      0.0293
      5.2029      0.0267
      5.2040      0.0242
      5.2051      0.0216
      5.2062      0.0191
      5.2072      0.0165
      5.2083      0.0140
      5.2094      0.0114
      5.2105      0.0082
      5.2116      0.0040
      5.2126      0.0000
      5.2137      0.0000
