# METIS IMG dichroic (ZnSe), ~40 K (TBC)
# Created: Kieran Leschinski, from data from Roy van Boekel
# Date: 2018.04.26
# Note: in the original file METIS_IMG_dichroic.csv, the trans + emiss != 1
#   This is because of surface losses due to reflection. This should be accounted
#   for when including the emission from this element
#
# wavelength      transmission
#   [micron]   [dimensionless]
   3.0628339         0.6897904
   3.0832479         0.6907294
   3.1037980         0.7015534
   3.1244851         0.7563120
   3.1453100         0.8114356
   3.1662737         0.8669266
   3.1873772         0.9227874
   3.2086213         0.9571742
   3.2300070         0.9595908
   3.2515352         0.9620235
   3.2732070         0.9644724
   3.2950231         0.9669376
   3.3169847         0.9359594
   3.3390927         0.8949049
   3.3613480         0.8535768
   3.3837516         0.8119732
   3.4063046         0.7909606
   3.4290079         0.8239484
   3.4518625         0.8571562
   3.4748694         0.8905852
   3.4980297         0.9242371
   3.5213443         0.9221481
   3.5448143         0.9167031
   3.5684408         0.9112217
   3.5922247         0.9057039
   3.6161671         0.9082975
   3.6402692         0.9148532
   3.6645318         0.9214527
   3.6889562         0.9280961
   3.7135434         0.9282288
   3.7382944         0.9229816
   3.7632105         0.9176994
   3.7882925         0.9123820
   3.8135418         0.9055395
   3.8389594         0.8973551
   3.8645463         0.8891161
   3.8903038         0.8808222
   3.9162330         0.8742586
   3.9423350         0.8687250
   3.9686109         0.8631545
   3.9950620         0.8575469
   4.0216894         0.8580183
   4.0484943         0.8598946
   4.0754778         0.8617834
   4.1026412         0.8597865
   4.1299856         0.8213403
   4.1575122         0.7826378
   4.1852224         0.7436773
   4.2131172         0.6835090
   4.2411979         0.5991826
   4.2694659         0.5142940
   4.2979222         0.4288397
   4.3265681         0.3630077
   4.3554050         0.2983265
   4.3844342         0.2332142
   4.4136567         0.2205195
   4.4430741         0.2683816
   4.4726875         0.3165626
   4.5024983         0.3696542
   4.5325078         0.4736071
   4.5627173         0.5782528
   4.5931282         0.6835960
   4.6237417         0.7687486
   4.6545593         0.8483813
   4.6855823         0.9285447
   4.7168121         0.9697004
   4.7482500         0.9769940
   4.7798974         0.9843362
   4.8117558         0.9895760
   4.8438265         0.9911475
   4.8761110         0.9927294
   4.9086106         0.9940464
   4.9413269         0.9946026
   4.9742612         0.9951624
   5.0074151         0.9956593
   5.0407899         0.9959263
   5.0743871         0.9961951
   5.1082083         0.9964328
   5.1422549         0.9965690
   5.1765284         0.9967061
   5.2110303         0.9968000
   5.2457623         0.9968000
   5.2807257         0.9968000
   5.3159221         0.9967841
   5.3513531         0.9967486
   5.3870203         0.9967130
   5.4229252         0.9965854
   5.4590694         0.9964047
   5.4954545         0.9962227
   5.5320821         0.9958471
   5.5689539         0.9954415
   5.6060714         0.9949421
   5.6434363         0.9939707
   5.6810502         0.9929927
   5.7189148         0.9909490
   5.7570318         0.9878234
   5.7954029         0.9846770
   5.8340297         0.9709263
   5.8729139         0.9556448
   5.9120574         0.9077428
   5.9514617         0.7859834
   5.9911286         0.6634126
   6.0310599         0.3251206
   6.0712574         0.3630670
   6.1117228         0.3829319
   6.1524579         0.3576761
   6.1934645         0.3322520
   6.2347444         0.3833394
   6.2762995         0.4492872
   6.3181315         0.5198267
   6.3602423         0.5963000
   6.4026338         0.6634879
   6.4453078         0.5822792
   6.4882663         0.5005292
   6.5315111         0.4291372
   6.5750441         0.3613563
   6.6188673         0.3136135
   6.6629825         0.2928352
   6.7073918         0.2767823
   6.7520971         0.2851422
   6.7971003         0.2935578
   6.8424035         0.3275564
   6.8880086         0.3635388
   6.9339177         0.4245211
   6.9801328         0.4947218
   7.0266559         0.5809041
   7.0734891         0.6793007
   7.1206345         0.7697485
   7.1680941         0.8496704
   7.2158699         0.9101606
   7.2639643         0.9306488
   7.3123791         0.9425462
   7.3611167         0.9289484
   7.4101791         0.9155043
   7.4595685         0.9029100
   7.5092871         0.8924143
   7.5593371         0.8914133
   7.6097206         0.8918928
   7.6604400         0.8986385
   7.7114974         0.9054292
   7.7628951         0.9122651
   7.8146354         0.9176244
   7.8667205         0.9191349
   7.9191528         0.9185486
   7.9719346         0.9142733
   8.0250681         0.9088916
   8.0785558         0.9022591
   8.1324000         0.8964248
   8.1866031         0.8911129
   8.2411674         0.8884003
   8.2960954         0.8865328
   8.3513895         0.8878389
   8.4070522         0.8896513
   8.4630858         0.8932375
   8.5194929         0.8968086
   8.5762760         0.9003291
   8.6334375         0.9029034
   8.6909800         0.9048023
   8.7489061         0.9048066
   8.8072182         0.9042257
   8.8659190         0.9019951
   8.9250110         0.8994244
   8.9844969         0.8963907
   9.0443792         0.8936473
   9.1046607         0.8910881
   9.1653439         0.8896317
   9.2264316         0.8888529
   9.2879265         0.8889759
   9.3498312         0.8901461
   9.4121486         0.8917252
   9.4748813         0.8939208
   9.5380321         0.8961311
   9.6016038         0.8983385
   9.6655992         0.8998744
   9.7300211         0.9008201
   9.7948725         0.9010795
   9.8601560         0.9001977
   9.9258747         0.8987461
   9.9920314         0.8965630
  10.0586291         0.8937789
  10.1256706         0.8908448
  10.1931590         0.8878078
  10.2610971         0.8851172
  10.3294881         0.8827743
  10.3983350         0.8808466
  10.4676407         0.8799207
  10.5374083         0.8795748
  10.6076409         0.8798146
  10.6783416         0.8808751
  10.7495136         0.8824378
  10.8211599         0.8843136
  10.8932838         0.8864052
  10.9658883         0.8884449
  11.0389768         0.8902965
  11.1125524         0.8918757
  11.1866184         0.8929127
  11.2611781         0.8932224
  11.3362347         0.8930101
  11.4117916         0.8922760
  11.4878520         0.8908308
  11.5644194         0.8889251
  11.6414971         0.8867136
  11.7190886         0.8842701
  11.7971972         0.8816925
  11.8758264         0.8793252
  11.9549797         0.8771155
  12.0346606         0.8751721
  12.1148725         0.8736067
  12.1956190         0.8725570
  12.2769038         0.8721155
  12.3587303         0.8720587
  12.4411021         0.8724288
  12.5240230         0.8732123
  12.6074966         0.8743124
  12.6915265         0.8755729
  12.7761165         0.8769940
  12.8612703         0.8783803
  12.9469916         0.8796109
  13.0332843         0.8805996
  13.1201521         0.8813008
  13.2075989         0.8816848
  13.2956286         0.8815087
  13.3842450         0.8809103
  13.4734520         0.8798451
  13.5632536         0.8783614
  13.6536537         0.8765196
  13.7446563         0.8744282
  13.8362655         0.8721571
  13.9284852         0.8697309
  14.0213196         0.8672670
  14.1147728         0.8649602
  14.2088488         0.8628230
  14.3035519         0.8609396
  14.3988862         0.8593189
  14.4948558         0.8581617
  14.5914651         0.8574597
  14.6887184         0.8571338
  14.7866198         0.8572732
  14.8851737         0.8578110
  14.9843845         0.8588282
  15.0842566         0.8601796
  15.1847943         0.8618415
  15.2860021         0.8637340
  15.3878845         0.8657577
  15.4904459         0.8679898
  15.5936909         0.8701675
  15.6976240         0.8722525
  15.8022499         0.8742382
  15.9075731         0.8760060
  16.0135983         0.8774632
  16.1203301         0.8786626
  16.2277733         0.8794666
  16.3359327         0.8799719
  16.4448129         0.8800104
  16.5544188         0.8796823
  16.6647553         0.8791115
  16.7758271         0.8782176
