# METIS IMG-NQ detector QE (Aquarius)
# received from Roy as METIS_IMG_NQ_QE.csv on 25 May 2018 (unpublished lab measurement of the MIRI team)
#
# wavelength               QE 
#   [micron]  [dimensionless] 
  17.1135043        0.6045790
  17.2275671        0.6028275
  17.3423901        0.6010643
  17.4579785        0.5983992
  17.5743372        0.5942993
  17.6914715        0.5901720
  17.8093865        0.5864996
  17.9280874        0.5829226
  18.0475795        0.5804952
  18.1678680        0.5792799
  18.2889582        0.5780565
  18.4108555        0.5768250
  18.5335652        0.5715011
  18.6570929        0.5638151
  18.7814438        0.5534897
  18.9066236        0.5444692
  19.0326376        0.5378350
  19.1594916        0.5330157
  19.2871911        0.5295187
  19.4157417        0.5268567
  19.5451491        0.5272602
  19.6754190        0.5276664
  19.8065571        0.5287810
  19.9385693        0.5318501
  20.0714614        0.5349396
  20.2052392        0.5380497
  20.3399087        0.5411805
  20.4754757        0.5443322
  20.6119463        0.5351273
  20.7493265        0.5264398
  20.8876223        0.5189942
  21.0268399        0.5210697
  21.1669854        0.5242487
  21.3080649        0.5297833
  21.4500848        0.5352510
  21.5930513        0.5383371
  21.7369706        0.5408334
  21.8818491        0.5391736
  22.0276933        0.5375028
  22.1745096        0.5353713
  22.3223044        0.5321921
  22.4710842        0.5289916
  22.6208557        0.5250529
  22.7716254        0.5197410
  22.9234000        0.5145503
  23.0761862        0.5096171
  23.2299908        0.5036584
  23.3848204        0.4944446
  23.5406820        0.4902526
  23.6975824        0.4894656
  23.8555286        0.4899581
  24.0145275        0.4872406
  24.1745862        0.4772052
  24.3357116        0.4679517
  24.4979110        0.4534893
  24.6611914        0.4409543
  24.8255601        0.4294543
  24.9910244        0.4175754
  25.1575915        0.4058198
  25.3252687        0.3967884
  25.4940635        0.3789381
  25.6639834        0.3649214
  25.8350358        0.3526388
  26.0072283        0.3355523
  26.1805684        0.3106525
  26.3550639        0.2903797
  26.5307224        0.2700900
  26.7075517        0.2495763
  26.8855595        0.2317282
  27.0647538        0.2162846
  27.2451425        0.2016156
  27.4267334        0.1870142
  27.6095347        0.1671876
  27.7935543        0.1445665
  27.9788005        0.1257513
  28.1652813        0.1068020
  28.3530050        0.0876802
  28.5419800        0.0746097
  28.7322144        0.0675087
  28.9237168        0.0620136
  29.1164956        0.0538923
  29.3105592        0.0441473
  29.5059163        0.0342814
  29.7025755        0.0258124
  29.9005454        0.0172870
