#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      3.7301      0.9400
      3.7309      0.9400
      3.7317      0.9400
      3.7325      0.9400
      3.7332      0.9400
      3.7340      0.9400
      3.7348      0.9400
      3.7356      0.9400
      3.7363      0.9400
      3.7371      0.9400
      3.7379      0.9400
      3.7387      0.9400
      3.7395      0.9400
      3.7402      0.9400
      3.7410      0.9400
      3.7418      0.9400
      3.7426      0.9400
      3.7433      0.9400
      3.7441      0.9400
      3.7449      0.9400
      3.7457      0.9400
      3.7464      0.9400
      3.7472      0.9400
      3.7480      0.9400
      3.7488      0.9400
      3.7496      0.9400
      3.7503      0.9400
      3.7511      0.9400
      3.7519      0.9400
      3.7527      0.9400
      3.7535      0.9400
      3.7542      0.9400
      3.7550      0.9400
      3.7558      0.9400
      3.7566      0.9400
      3.7573      0.9400
      3.7581      0.9400
      3.7589      0.9400
      3.7597      0.9400
      3.7605      0.9400
      3.7613      0.9400
      3.7620      0.9400
      3.7628      0.9400
      3.7636      0.9400
      3.7644      0.9400
      3.7652      0.9400
      3.7659      0.9400
      3.7667      0.9400
      3.7675      0.9400
      3.7683      0.9400
      3.7691      0.9400
      3.7698      0.9400
      3.7706      0.9400
      3.7714      0.9400
      3.7722      0.9400
      3.7730      0.9400
      3.7738      0.9400
      3.7745      0.9400
      3.7753      0.9400
      3.7761      0.9400
      3.7769      0.9400
      3.7777      0.9400
      3.7785      0.9400
      3.7793      0.9400
      3.7800      0.9400
      3.7808      0.9400
      3.7816      0.9400
      3.7824      0.9400
      3.7832      0.9400
      3.7840      0.9400
      3.7847      0.9400
      3.7855      0.9400
      3.7863      0.9400
      3.7871      0.9400
      3.7879      0.9400
      3.7887      0.9400
      3.7895      0.9400
      3.7903      0.9400
      3.7910      0.9400
      3.7918      0.9400
      3.7926      0.9400
      3.7934      0.9400
      3.7942      0.9400
      3.7950      0.9400
      3.7958      0.9400
      3.7966      0.9400
      3.7973      0.9400
      3.7981      0.9400
      3.7989      0.9400
      3.7997      0.9400
      3.8005      0.9400
      3.8013      0.9400
      3.8021      0.9400
      3.8029      0.9400
      3.8037      0.9400
      3.8044      0.9400
      3.8052      0.9400
      3.8060      0.9400
      3.8068      0.9400
      3.8076      0.9400
      3.8084      0.9400
      3.8092      0.9400
      3.8100      0.9400
      3.8108      0.9400
      3.8116      0.9400
      3.8123      0.9400
      3.8131      0.9400
      3.8139      0.9400
      3.8147      0.9400
      3.8155      0.9400
      3.8163      0.9400
      3.8171      0.9400
      3.8179      0.9400
      3.8187      0.9400
      3.8195      0.9400
      3.8203      0.9399
      3.8211      0.9396
      3.8219      0.9394
      3.8226      0.9391
      3.8234      0.9389
