# METIS WFS dichroic (ZnSe), at ca. 60 K (TBC)
# received from Roy as METIS_CFO_WDS_dichroic.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
   8.2960954        0.9136095        0.0009247
   8.3513895        0.9151389        0.0009266
   8.4070522        0.9170000        0.0009286
   8.4630858        0.9190000        0.0009306
   8.5194929        0.9210000        0.0009325
   8.5762760        0.9230000        0.0009345
   8.6334375        0.9243438        0.0009365
   8.6909800        0.9260980        0.0009384
   8.7489061        0.9280000        0.0009404
   8.8072182        0.9297218        0.0009424
   8.8659190        0.9310000        0.0009444
   8.9250110        0.9320000        0.0009464
   8.9844969        0.9334497        0.0009484
   9.0443792        0.9344379        0.0009504
   9.1046607        0.9350000        0.0009524
   9.1653439        0.9360000        0.0009544
   9.2264316        0.9360000        0.0009564
   9.2879265        0.9360000        0.0009584
   9.3498312        0.9360000        0.0009605
   9.4121486        0.9360000        0.0009625
   9.4748813        0.9360000        0.0009645
   9.5380321        0.9350000        0.0009666
   9.6016038        0.9340000        0.0009686
   9.6655992        0.9340000        0.0009707
   9.7300211        0.9330000        0.0009727
   9.7948725        0.9320000        0.0009748
   9.8601560        0.9310000        0.0009768
   9.9258747        0.9300000        0.0009789
   9.9920314        0.9290000        0.0009809
  10.0586291        0.9270000        0.0009830
  10.1256706        0.9260000        0.0009851
  10.1931590        0.9240000        0.0009872
  10.2610971        0.9220000        0.0009893
  10.3294881        0.9200000        0.0009913
  10.3983350        0.9171665        0.0009934
  10.4676407        0.9150000        0.0009955
  10.5374083        0.9130000        0.0009976
  10.6076409        0.9110000        0.0010107
  10.6783416        0.9090000        0.0011201
  10.7495136        0.9070000        0.0012414
  10.8211599        0.9058840        0.0013758
  10.8932838        0.9040000        0.0015247
  10.9658883        0.9030000        0.0016898
  11.0389768        0.9020000        0.0018728
  11.1125524        0.9020000        0.0020755
  11.1866184        0.9013382        0.0023002
  11.2611781        0.9010000        0.0025492
  11.3362347        0.9020000        0.0028252
  11.4117916        0.9030000        0.0031311
  11.4878520        0.9040000        0.0034700
  11.5644194        0.9050000        0.0038457
  11.6414971        0.9051497        0.0042621
  11.7190886        0.9060000        0.0047235
  11.7971972        0.9060000        0.0052348
  11.8758264        0.9060000        0.0058016
  11.9549797        0.9060000        0.0064297
  12.0346606        0.9060000        0.0071257
  12.1148725        0.9060000        0.0078972
  12.1956190        0.9054381        0.0087521
  12.2769038        0.9050000        0.0096997
  12.3587303        0.9050000        0.0107498
  12.4411021        0.9050000        0.0119136
  12.5240230        0.9050000        0.0132033
  12.6074966        0.9060000        0.0146327
  12.6915265        0.9050000        0.0162169
  12.7761165        0.9050000        0.0179726
  12.8612703        0.9050000        0.0199183
  12.9469916        0.9040000        0.0220747
  13.0332843        0.9026716        0.0244645
  13.1201521        0.9000000        0.0271131
  13.2075989        0.8970000        0.0300484
  13.2956286        0.8920000        0.0333015
  13.3842450        0.8860000        0.0369067
  13.4734520        0.8800000        0.0409023
  13.5632536        0.8736747        0.0453304
  13.6536537        0.8680000        0.0502380
  13.7446563        0.8630000        0.0556768
  13.8362655        0.8553735        0.0617044
  13.9284852        0.8431515        0.0683846
  14.0213196        0.8475127        0.0757880
  14.1147728        0.8366099        0.0839930
  14.2088488        0.8256343        0.0930862
  14.3035519        0.8145856        0.1032130
  14.3988862        0.8034633        0.1158558
  14.4948558        0.7922668        0.1300473
  14.5914651        0.7809958        0.1458884
  14.6887184        0.7696495        0.1636534
  14.7866198        0.7582277        0.1859508
  14.8851737        0.7467297        0.2116404
  14.9843845        0.7351552        0.2165953
  15.0842566        0.7235034        0.2175526
  15.1847943        0.7117740        0.2185141
  15.2860021        0.6999664        0.2361412
  15.3878845        0.6880802        0.2585238
  15.4904459        0.6761147        0.2635671
  15.5936909        0.6640694        0.2661488
  15.6976240        0.6519439        0.2760575
  15.8022499        0.6397375        0.2868331
  15.9075731        0.6274498        0.2944351
  16.0135983        0.6150802        0.2582978
  16.1203301        0.6026282        0.2295270
  16.2277733        0.5900931        0.2154517
  16.3359327        0.5774745        0.2022395
  16.4448129        0.5647718        0.2015372
  16.5544188        0.5519845        0.2188262
  16.6647553        0.5391119        0.2375983
  16.7758271        0.5261535        0.2565997
  16.8876393        0.5131087        0.2764278
  17.0001967        0.4999902        0.2806866
  17.1135043        0.4943248        0.2829320
  17.2275671        0.4886216        0.2815646
  17.3423901        0.4828805        0.2691264
  17.4579785        0.4771011        0.2572377
  17.5743372        0.4712831        0.2519103
  17.6914715        0.4654264        0.2501104
  17.8093865        0.4595307        0.2483233
  17.9280874        0.4535956        0.2496875
  18.0475795        0.4476210        0.2615521
  18.1678680        0.4416066        0.2739803
  18.2889582        0.4355521        0.2927793
  18.4108555        0.4294572        0.3151372
  18.5335652        0.4233217        0.3381181
  18.6570929        0.4171454        0.3596933
  18.7814438        0.4109278        0.3826452
  18.9066236        0.4046688        0.4082759
  19.0326376        0.3885768        0.4595686
  19.1594916        0.3441779        0.5173054
  19.2871911        0.2994831        0.5812339
  19.4157417        0.2544904        0.6525072
  19.5451491        0.2091978        0.7325204
  19.6754190        0.1636034        0.7929222
  19.8065571        0.1177050        0.8357840
  19.9385693        0.0715007        0.8809629
  20.0714614        0.0249885        0.9104207
  20.2052392        0.0000000        0.9249690
  20.3399087        0.0000000        0.9397497
  20.4754757        0.0000000        0.9499372
  20.6119463        0.0000000        0.9563532
  20.7493265        0.0000000        0.9628126
  20.8876223        0.0000000        0.9696252
  21.0268399        0.0000000        0.9766669
  21.1669854        0.0000000        0.9837598
  21.3080649        0.0000000        0.9906881
  21.4500848        0.0000000        0.9940716
  21.5930513        0.0000000        0.9974666
  21.7369706        0.0000000        0.9999992
  21.8818491        0.0000000        0.9999995
  22.0276933        0.0000000        0.9999997
  22.1745096        0.0000000        1.0000000
  22.3223044        0.0000000        1.0000000
  22.4710842        0.0000000        1.0000000
  22.6208557        0.0000000        1.0000000
  22.7716254        0.0000000        1.0000000
  22.9234000        0.0000000        1.0000000
  23.0761862        0.0000000        1.0000000
  23.2299908        0.0000000        1.0000000
  23.3848204        0.0000000        1.0000000
  23.5406820        0.0000000        1.0000000
  23.6975824        0.0000000        1.0000000
  23.8555286        0.0000000        1.0000000
  24.0145275        0.0000000        1.0000000
  24.1745862        0.0000000        1.0000000
  24.3357116        0.0000000        1.0000000
  24.4979110        0.0000000        1.0000000
  24.6611914        0.0000000        1.0000000
