#Wavelength	Flux
#um	ph/s/m2
0.30	12826281242.1
0.30	12819064312.0
0.30	12295638019.2
0.30	11583019553.2
0.30	11766905199.1
0.30	12341824743.9
0.30	11799012290.2
0.30	10595093879.1
0.30	10598279392.7
0.30	11600600483.2
0.30	11644280537.1
0.30	11345645296.5
0.30	11544542258.9
0.30	11401081395.0
0.30	11534088191.6
0.30	12201023255.7
0.30	12744704937.0
0.30	12965117199.1
0.30	13021733927.7
0.30	12967709938.5
0.30	12666809979.3
0.30	12414796557.8
0.30	12643796751.3
0.30	12932449906.1
0.30	13014645733.0
0.30	12992527503.3
0.30	12904389795.4
0.30	12714012270.0
0.30	12276531711.3
0.30	11775062332.9
0.30	11571728077.1
0.30	11762502269.5
0.30	12153597272.5
0.30	12587393011.7
0.30	12901930749.7
0.30	12937322850.0
0.30	12800063299.0
0.30	12730996032.6
0.30	12755720171.6
0.30	12614140378.4
0.30	12205973937.6
0.30	11603658943.1
0.30	11272094804.9
0.30	11731831416.0
0.30	12518049444.1
0.30	12628108993.8
0.30	11844172139.9
0.30	10780532568.2
0.30	10423077072.8
0.30	11194617523.0
0.30	12363337614.8
0.30	12940959185.8
0.30	12967872696.8
0.30	12858138767.7
0.30	12844479177.7
0.30	12824407576.2
0.30	12249015224.0
0.30	11389410521.3
0.30	11683220483.2
0.30	12639392151.9
0.30	13040218249.0
0.30	13067165876.4
0.30	12859031438.1
0.30	12417890997.3
0.30	12299429560.9
0.30	12499471551.5
0.30	12351064891.4
0.30	11683047697.5
0.30	11357042185.5
0.30	11989066800.6
0.30	12219121717.0
0.30	12049220590.8
0.30	12463301382.9
0.30	12933092684.7
0.30	13032807636.5
0.30	12758065627.3
0.30	11967500655.8
0.30	11322317277.9
0.30	11471148089.6
0.30	11904728277.1
0.30	12092183552.8
0.30	12213299352.7
0.30	12525023247.2
0.30	12815390471.6
0.30	12910913692.1
0.30	12760119802.3
0.30	12598585370.8
0.30	12571990740.6
0.30	12099716054.6
0.30	11573772948.9
0.30	12069988592.0
0.30	12469857642.3
0.30	11920215014.8
0.30	11481938616.3
0.30	11538829338.4
0.30	11670777487.6
0.30	12042925670.4
0.30	12449462101.2
0.30	12566527336.3
0.30	12162370576.4
0.30	11775296054.1
0.30	11742146069.3
0.30	11627452023.7
0.30	11748787568.0
0.30	11962424705.7
0.30	11894937996.3
0.30	12314705852.9
0.30	12876239636.6
0.30	13006347684.3
0.30	12964700607.4
0.30	12974588562.0
0.30	12954413404.1
0.30	12850462598.3
0.30	12793750690.0
0.30	12603837399.1
0.30	12040047368.9
0.30	11800598138.8
0.30	12033861831.9
0.30	11779315758.0
0.30	11789091782.1
0.30	12293265880.5
0.30	12107465548.3
0.30	11270186795.2
0.30	11138000819.9
0.30	11954119849.2
0.30	12181129541.0
0.30	11633883989.8
0.30	11232800093.1
0.30	11528646575.2
0.30	12388242077.2
0.30	12858553759.7
0.30	12831864781.8
0.30	12529696577.8
0.30	12365220482.7
0.30	12616154297.5
0.30	12910192359.0
0.30	12971766218.3
0.30	12779277045.8
0.30	12481229421.6
0.30	12432941867.0
0.30	12158493699.3
0.30	10979278571.4
0.30	10685239005.7
0.30	11950999449.8
0.30	12639548350.7
0.30	12268009646.9
0.30	11290800324.7
0.30	10738001418.9
0.30	11502149674.4
0.30	12223334301.4
0.30	12394881098.0
