#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.323365245 323.365245 0.464041 0.429746 0.397988 0.368742 0.316278 0.271294 0.215754 0.147421 0.101325
0.32368877199999996 323.688772 0.473725 0.439621 0.407975 0.378734 0.326187 0.280947 0.224761 0.155092 0.107614
0.324012623 324.012623 0.476471 0.442426 0.410815 0.381584 0.329021 0.283714 0.227358 0.157324 0.109461
0.324336798 324.336798 0.472305 0.438172 0.406508 0.377275 0.324738 0.279532 0.223451 0.153986 0.106719
0.324661297 324.661297 0.468334 0.434122 0.40241 0.373207 0.320701 0.275598 0.219809 0.150909 0.104217
0.32498612000000004 324.98612 0.45551 0.421064 0.389224 0.360019 0.307661 0.262933 0.208035 0.140948 0.0961063
0.32531126899999996 325.311269 0.468273 0.434059 0.402347 0.373132 0.320627 0.275525 0.219735 0.150845 0.104167
0.325636743 325.636743 0.470057 0.435879 0.404188 0.374979 0.322459 0.27731 0.221408 0.152278 0.105349
0.325962543 325.962543 0.481943 0.448018 0.416483 0.387304 0.334718 0.289288 0.232638 0.161918 0.113314
0.32628866799999995 326.288668 0.491 0.457289 0.425893 0.396752 0.344158 0.298551 0.241373 0.169494 0.119635
0.32661512 326.61512 0.496086 0.462501 0.431192 0.402084 0.3495 0.303808 0.246357 0.173851 0.123299
0.32694189799999995 326.941898 0.497472 0.463923 0.432638 0.403546 0.350966 0.305253 0.247737 0.175068 0.124333
0.327269004 327.269004 0.491189 0.457481 0.426089 0.396966 0.344372 0.298761 0.241594 0.169712 0.119842
0.32759643699999996 327.596437 0.493894 0.460253 0.428906 0.399804 0.347214 0.301557 0.244248 0.172035 0.121799
0.327924197 327.924197 0.481634 0.447702 0.416163 0.387019 0.334435 0.28901 0.232423 0.161784 0.113252
0.328252285 328.252285 0.486963 0.453154 0.421694 0.392576 0.339981 0.294448 0.23755 0.166228 0.116959
0.32858070199999995 328.580702 0.499191 0.465686 0.434432 0.405383 0.352811 0.307072 0.249504 0.176664 0.125725
0.328909447 328.909447 0.507769 0.474496 0.443406 0.414425 0.361906 0.316058 0.258068 0.184218 0.132133
0.329238521 329.238521 0.513191 0.480073 0.449094 0.420167 0.367698 0.321797 0.263561 0.1891 0.136304
0.329567924 329.567924 0.515622 0.482575 0.451648 0.42275 0.370308 0.324386 0.26605 0.191325 0.138218
0.32989765699999996 329.897657 0.516997 0.483991 0.453094 0.424217 0.37179 0.325858 0.26747 0.192601 0.139321
0.330227719 330.227719 0.51255 0.479414 0.448421 0.419515 0.367039 0.321143 0.262967 0.188606 0.135915
0.330558112 330.558112 0.509645 0.476426 0.445373 0.416438 0.363935 0.318067 0.260025 0.185996 0.133692
0.330888836 330.888836 0.511649 0.478486 0.447475 0.418567 0.366083 0.320195 0.262071 0.187824 0.135263
0.33121989 331.21989 0.507902 0.474633 0.443545 0.414607 0.36209 0.31624 0.258296 0.184483 0.132421
0.331551275 331.551275 0.516482 0.48346 0.452551 0.423702 0.371269 0.325341 0.267017 0.192245 0.139065
0.331882993 331.882993 0.523709 0.490908 0.460162 0.431396 0.379059 0.333088 0.274472 0.198929 0.144826
0.33221504199999996 332.215042 0.528493 0.495842 0.46521 0.436508 0.384247 0.338259 0.279468 0.203435 0.148735
0.33254742299999995 332.547423 0.531629 0.49908 0.468525 0.439869 0.387663 0.341669 0.282772 0.206431 0.151346
0.332880136 332.880136 0.532171 0.499639 0.469098 0.440456 0.38826 0.342265 0.283357 0.20697 0.151825
0.333213183 333.213183 0.532223 0.499693 0.469153 0.440517 0.388322 0.342327 0.283426 0.207042 0.151897
0.333546563 333.546563 0.529372 0.49675 0.466139 0.437478 0.385232 0.339242 0.280455 0.20437 0.149588
0.333880276 333.880276 0.525581 0.492838 0.462136 0.433428 0.38112 0.335141 0.276499 0.200808 0.146507
0.33421432399999995 334.214324 0.532086 0.499552 0.469008 0.44039 0.388193 0.342198 0.283327 0.206983 0.151876
0.334548705 334.548705 0.537211 0.504847 0.474434 0.445893 0.393795 0.3478 0.288764 0.211927 0.156197
0.334883421 334.883421 0.540657 0.50841 0.478089 0.449605 0.397579 0.35159 0.292455 0.215299 0.15916
0.33521847200000005 335.218472 0.543951 0.511819 0.481586 0.453159 0.401208 0.355229 0.296005 0.218552 0.162026
0.335553858 335.553858 0.545972 0.51391 0.483733 0.455344 0.403442 0.357471 0.298199 0.220572 0.163813
0.33588958 335.88958 0.547529 0.515523 0.48539 0.457032 0.405168 0.359204 0.299899 0.222142 0.165207
0.336225637 336.225637 0.547925 0.515933 0.485811 0.457466 0.405612 0.359651 0.300343 0.22256 0.165587
0.336562031 336.562031 0.546483 0.51444 0.484277 0.455914 0.404024 0.358056 0.298795 0.221148 0.164353
0.33689876199999996 336.898762 0.548015 0.516026 0.485907 0.457575 0.405723 0.359763 0.300469 0.222696 0.165727
0.33723582900000004 337.235829 0.544583 0.512472 0.482257 0.453877 0.401942 0.355965 0.296774 0.219317 0.16276
0.33757323300000003 337.573233 0.546834 0.514804 0.484651 0.456312 0.404431 0.358465 0.299219 0.221568 0.164753
0.337910975 337.910975 0.551698 0.519842 0.489828 0.461577 0.40982 0.363883 0.304521 0.226455 0.169082
0.338249055 338.249055 0.555426 0.523708 0.493802 0.465624 0.413969 0.36806 0.308621 0.23025 0.172458
0.338587474 338.587474 0.558064 0.526444 0.496618 0.468494 0.416915 0.37103 0.311542 0.232964 0.174883
0.33892623099999997 338.926231 0.559863 0.528312 0.49854 0.470457 0.41893 0.373063 0.313548 0.234835 0.176561
0.33926532600000003 339.265326 0.561091 0.529586 0.499852 0.471798 0.420308 0.374454 0.314924 0.236123 0.177721
0.339604761 339.604761 0.562009 0.53054 0.500834 0.472804 0.421343 0.375499 0.315959 0.237096 0.1786
0.339944536 339.944536 0.56208 0.530613 0.50091 0.472887 0.421428 0.375585 0.316054 0.237195 0.178699
0.34028465 340.28465 0.560611 0.529088 0.499339 0.471293 0.41979 0.373931 0.314434 0.235699 0.177374
0.34062510500000004 340.625105 0.563458 0.532045 0.502384 0.4744 0.422984 0.377157 0.317617 0.23867 0.180039
0.34096590099999996 340.965901 0.56632 0.535018 0.505447 0.477526 0.426202 0.38041 0.320831 0.241677 0.182743
0.341307037 341.307037 0.568585 0.537372 0.507875 0.480006 0.428757 0.382995 0.323389 0.244078 0.184909
0.341648515 341.648515 0.570327 0.539183 0.509742 0.481915 0.430725 0.384989 0.325366 0.245939 0.186593
0.341990334 341.990334 0.571677 0.540587 0.51119 0.483398 0.432254 0.386538 0.326906 0.247393 0.187913
0.342332496 342.332496 0.573048 0.542014 0.512662 0.484905 0.43381 0.388115 0.328474 0.248875 0.189259
0.34267499900000004 342.674999 0.574274 0.543289 0.513978 0.486253 0.435202 0.389527 0.32988 0.250206 0.190471
0.343017846 343.017846 0.57506 0.544108 0.514823 0.487121 0.436099 0.390436 0.330789 0.251071 0.191264
0.34336103500000004 343.361035 0.575936 0.545019 0.515764 0.488088 0.437097 0.391449 0.331801 0.252034 0.192145
0.343704568 343.704568 0.576747 0.545863 0.516635 0.488983 0.438023 0.392389 0.332741 0.25293 0.192966
0.34404844500000004 344.048445 0.575804 0.544882 0.515622 0.487955 0.43696 0.39131 0.331681 0.251941 0.192083
0.34439266500000004 344.392665 0.577847 0.547008 0.517818 0.490202 0.439283 0.393668 0.334027 0.254163 0.194105
